,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
427,10000.0,0.2580375563698369,0.025,0.96,0.94,0.5819,0.0417,0.154,0.2224,391.0,8946.0,6058.0,0.6058,1.2531414111502477,424.0,0.0424,0.21355748799812196,3.0578967276502206e-18,1.417293776704818e-18,3045.3760058162193,1.0923149958589717,0.8177752136437776,1.0476209468418736e-19,29.713244295190936,6.09387700304444e-19,9.264531559567712e-19,0.6273744666484053,0.5405664762614885,3.7034722468612838e-25
428,10000.0,0.2580375563698369,0.025,0.94,1.0,0.6203,0.0518,0.1355,0.1924,0.0,8424.0,5784.0,0.5784,1.2372576613834587,417.0,0.0417,0.22037687400600744,3.0582585541343474e-18,1.5249015487101166e-18,3276.2079664833927,1.0730914390154869,0.7740683521152756,1.2595276464461852e-19,35.719240828134296,5.524339940335696e-19,8.549702467460425e-19,0.562924329183706,0.4328084213906715,3.7039104612489795e-25
429,10000.0,0.2580375563698369,0.025,0.94,0.98,0.6013,0.0522,0.1404,0.2061,128.0,8517.0,6063.0,0.6063,1.2516616857991498,398.0,0.0398,0.21170838916822454,3.0528234055998606e-18,1.4747355267991416e-18,3174.068650045431,1.0880751209449049,0.8336194208229021,1.3256965987592082e-19,37.66267596146203,5.67714193008986e-19,8.778040259158126e-19,0.6157126094595362,0.5478164468064258,3.697327857731656e-25
430,10000.0,0.2580375563698369,0.025,0.94,0.96,0.5881,0.0543,0.1401,0.2175,244.0,8607.0,5965.0,0.5965,1.2255765801431502,425.0,0.0425,0.22293209699813799,3.0621446064143685e-18,1.4383432913097648e-18,3086.318284820678,1.078366005112338,0.7996252282774671,1.3405295579496608e-19,37.968147920785874,5.559676219189329e-19,9.337807373907055e-19,0.6072417996850459,0.5129429712762883,3.708616927179884e-25
431,10000.0,0.2580375563698369,0.025,0.94,0.94,0.5693,0.0572,0.1569,0.2166,363.0,8634.0,6144.0,0.6144,1.2724286021049456,398.0,0.0398,0.21028642856400367,3.0491506326529357e-18,1.3989365907967813e-18,3014.553569263836,1.0858730889079662,0.8290846823599853,1.3901625673509833e-19,39.54170801572128,6.08047858598231e-19,9.031499265228253e-19,0.6407993806928046,0.5827739919431827,3.692879698133928e-25
432,10000.0,0.2580375563698369,0.0175,1.0,1.0,0.6558,0.0,0.1378,0.2064,0.0,9290.0,6223.0,0.6223,1.3123318678951408,410.0,0.041,0.21569342216497128,3.0315132752318282e-18,1.586429808896504e-18,3430.8695343867075,1.0884842898071574,0.7895371322717745,0.0,0.0,5.533419811960683e-19,8.91741485139256e-19,0.5749203512651847,0.4295250018106364,3.679652394583748e-25
433,10000.0,0.2580375563698369,0.0175,1.0,0.98,0.6515,0.0,0.137,0.2115,144.0,9486.0,6041.0,0.6041,1.2771555514620228,394.0,0.0394,0.2040877389274477,3.065613588660151e-18,1.613024013426383e-18,3449.5801223218064,1.0548428512055663,0.7641532843039673,0.0,0.0,5.555907624943467e-19,8.969988127394212e-19,0.6242395465687414,0.5743646272276353,3.7210433728083077e-25
434,10000.0,0.2580375563698369,0.0175,1.0,0.96,0.6352,0.0,0.1455,0.2193,275.0,9480.0,5913.0,0.5913,1.2126876642965878,387.0,0.0387,0.20930047938088175,3.087381968717944e-18,1.5699542857980022e-18,3333.79936499472,1.0621304053240155,0.7720598488044752,0.0,0.0,5.8985073205459905e-19,9.275769508653425e-19,0.6173212896487602,0.5292236449974721,3.7474658438759105e-25
435,10000.0,0.2580375563698369,0.0175,1.0,0.94,0.6254,0.0,0.1504,0.2242,406.0,9799.0,6064.0,0.6064,1.2836057823103004,428.0,0.0428,0.22972469902849887,3.0811614656950525e-18,1.5535108644089738e-18,3305.5417992903335,1.0453244857621005,0.7380115777786516,0.0,0.0,5.993211693472406e-19,9.283294319388383e-19,0.6444242742956886,0.5549275043313867,3.739915394062377e-25
436,10000.0,0.2580375563698369,0.0175,0.98,1.0,0.6387,0.0201,0.1385,0.2027,0.0,8937.0,5999.0,0.5999,1.2560962414468,408.0,0.0408,0.22167605650453712,3.0362825106885197e-18,1.5605740434339864e-18,3369.651734865147,1.0704975955182132,0.7582695242823217,5.028036553009352e-20,14.330585124300283,5.582800027666618e-19,8.671480989577781e-19,0.6028329329992616,0.5547873413122604,3.6854412950685088e-25
437,10000.0,0.2580375563698369,0.0175,0.98,0.98,0.6364,0.0217,0.1364,0.2055,137.0,9201.0,5813.0,0.5813,1.229366277455346,394.0,0.0394,0.20940875149458357,3.054965572184445e-18,1.5789972281784729e-18,3388.5809384514505,1.055645921223215,0.7580868829728237,5.489355554054753e-20,15.549725120234266,5.440768284092113e-19,8.769979600562132e-19,0.6230053602410621,0.6079593947430224,3.7081188048565466e-25
438,10000.0,0.2580375563698369,0.0175,0.98,0.96,0.6183,0.017,0.1469,0.2178,264.0,9223.0,6135.0,0.6135,1.258521409279064,439.0,0.0439,0.22310931799630793,3.0662282732311347e-18,1.523305241857024e-18,3257.056324122766,1.0790675125921991,0.7918657387768121,4.311089146966068e-20,12.167187327476096,5.868384643256183e-19,9.129736755788316e-19,0.6340398986781753,0.6062543197882958,3.7217894772611606e-25
439,10000.0,0.2580375563698369,0.0175,0.98,0.94,0.6119,0.0183,0.1515,0.2183,386.0,9482.0,5951.0,0.5951,1.265668274714256,376.0,0.0376,0.20196613337860186,3.0488738689545716e-18,1.507072640608022e-18,3240.690409238712,1.082501243408001,0.851439715945172,4.562627454809084e-20,12.950401298926435,5.997493315292984e-19,8.964256222691601e-19,0.6420942872563906,0.5786837750831538,3.700724692298955e-25
440,10000.0,0.2580375563698369,0.0175,0.96,1.0,0.6205,0.0392,0.1394,0.2009,0.0,8666.0,6093.0,0.6093,1.2793815661166812,364.0,0.0364,0.20169062425108186,3.0945401829349296e-18,1.5377878752004003e-18,3257.940302311101,1.0623335814650026,0.7925629869456061,9.483607027373952e-20,26.520707049589745,5.797913955214707e-19,8.821248419393195e-19,0.5790070041406389,0.47622236399250584,3.7561544880259055e-25
441,10000.0,0.2580375563698369,0.0175,0.96,0.98,0.6189,0.0369,0.134,0.2102,139.0,8922.0,5848.0,0.5848,1.233434674439474,391.0,0.0391,0.21160261710753173,3.0306567912347682e-18,1.502400873376032e-18,3250.063799897509,1.086189668607402,0.8084445023902586,8.90152485222962e-20,25.417645976111473,5.343107898217473e-19,9.049298795146925e-19,0.5799676986833691,0.41130290598185604,3.6786127938614113e-25
442,10000.0,0.2580375563698369,0.0175,0.96,0.96,0.5996,0.0364,0.1451,0.2189,253.0,8901.0,6059.0,0.6059,1.2375533700953603,418.0,0.0418,0.21553980082707247,3.0635252030800932e-18,1.4811710784831686e-18,3169.7614700027007,1.0627840540761646,0.765534512007951,8.495605041390127e-20,23.99830294228255,5.785596741006978e-19,9.188384000823255e-19,0.631804887179267,0.579118162604111,3.7185084893020213e-25
443,10000.0,0.2580375563698369,0.0175,0.96,0.94,0.5853,0.0377,0.148,0.229,368.0,9025.0,6250.0,0.625,1.2963576105016048,402.0,0.0402,0.21068554492390787,3.0772491263077174e-18,1.4434505275290018e-18,3075.261581434573,1.0777610879142836,0.8129397040224733,9.091638125503882e-20,25.567434913405755,5.891797973574639e-19,9.537024201662132e-19,0.6332056795632525,0.5212335154278502,3.7351665944735213e-25
444,10000.0,0.2580375563698369,0.0175,0.94,1.0,0.6147,0.0548,0.1232,0.2073,0.0,8671.0,5799.0,0.5799,1.2489083101640086,420.0,0.042,0.2205467390065168,3.034184750228432e-18,1.497302430284688e-18,3235.268463960064,1.0980232745872263,0.8547852989071532,1.333325709191771e-19,38.02786179870418,4.933665473110275e-19,9.101832017135392e-19,0.5819124809901807,0.4678982497252238,3.6828950323279526e-25
