,N_RAYS,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
471,12592.0,0.2734578596782311,0.033,0.98,0.94,0.47371346886912324,0.014930114358322744,0.20274777636594662,0.30860864040660735,410.0,9171.0,11515.0,0.9144695044472682,1.5035732637521304,852.0,0.06766200762388819,0.2744445831197119,3.866152169447329e-18,1.4209823026915576e-18,4992.37304348841,1.0961282751466181,0.7737529081805725,4.349081366897416e-20,20.168832167600883,8.997391677215178e-19,1.5019398853652795e-18,0.6956870957408304,0.5885212141976354,2.265018614889393e-25
472,12592.0,0.2734578596782311,0.033,0.96,1.0,0.494361499364676,0.026763024142312578,0.1835292249047014,0.29534625158831,0.0,8417.0,11491.0,0.9125635324015248,1.554371129807519,784.0,0.062261753494282084,0.26334402267771273,3.822916437333598e-18,1.4711759008405978e-18,5227.175733752825,1.1129892884033314,0.8342134209448534,8.04083268800915e-20,37.711029011554324,8.143000492803976e-19,1.457032160332511e-18,0.6724307928048426,0.5757257403996698,2.2396885880891363e-25
473,12592.0,0.2734578596782311,0.033,0.96,0.98,0.4827668360864041,0.027001270648030495,0.1894853875476493,0.3007465057179161,119.0,8550.0,11496.0,0.9129606099110547,1.5360700326288443,795.0,0.06313532401524778,0.2674766435733582,3.833782984831056e-18,1.4281245221334794e-18,5059.829175086943,1.1273953404723316,0.8471043299109666,8.104444565469417e-20,37.90163048101259,8.482912297539019e-19,1.4763227872889801e-18,0.6943207644349103,0.6114657636526216,2.246054848723115e-25
474,12592.0,0.2734578596782311,0.033,0.96,0.96,0.4705368487928844,0.027477763659466328,0.198856416772554,0.3031289707750953,253.0,8572.0,11760.0,0.9339263024142312,1.5561149253309643,760.0,0.06035578144853875,0.25831107855274504,3.845740696460811e-18,1.3967455912921855e-18,4933.266931892371,1.124577063087868,0.8631459824806323,8.53062941045593e-20,39.770700481215144,8.935566261003125e-19,1.4701321849637534e-18,0.6938217795202971,0.5735700452630134,2.2530603772811758e-25
475,12592.0,0.2734578596782311,0.033,0.96,0.94,0.46402477763659467,0.02835133418043202,0.20584498094027953,0.3017789072426938,375.0,8591.0,11645.0,0.9247935196950444,1.577424409505323,848.0,0.06734434561626429,0.2739434827882643,3.843591285722193e-18,1.3969515802813483e-18,4936.753664662007,1.1051418718733952,0.855086580452979,8.355456179866451e-20,38.97580811768837,9.025266093716483e-19,1.4605585342705317e-18,0.7039732615994722,0.6315236987308518,2.2518011264496936e-25
476,12592.0,0.2734578596782311,0.033,0.94,1.0,0.47959021601016516,0.041454891994917406,0.18591168996188057,0.29304320203303685,0.0,8183.0,11733.0,0.9317820838627701,1.6226104920755247,812.0,0.0644853875476493,0.2687844582673272,3.871628489365859e-18,1.440565218342342e-18,5054.015294026855,1.1064203021550647,0.8027148176361457,1.2160205970912057e-19,56.313097569577046,8.40052514128192e-19,1.4694086971862038e-18,0.6651923257409554,0.5591920513616336,2.2682269641764654e-25
477,12592.0,0.2734578596782311,0.033,0.94,0.98,0.47411054637865313,0.04153430749682338,0.19123252858958067,0.29312261753494284,123.0,8250.0,11624.0,0.923125794155019,1.5841519589408484,759.0,0.060276365946632784,0.26485719156428184,3.84154634140711e-18,1.4162848011181727e-18,5007.7405720683355,1.117077899029939,0.842001566454074,1.2592569366438028e-19,58.77199568323423,8.552649506052118e-19,1.4440708960193452e-18,0.6908781301329819,0.6307590449697458,2.250603078174026e-25
478,12592.0,0.2734578596782311,0.033,0.94,0.96,0.4655336721728081,0.04169313850063532,0.19949174078780177,0.29328144853875476,223.0,8388.0,11628.0,0.9234434561626429,1.5688017301040547,800.0,0.06353240152477764,0.2636435258580846,3.83379757979036e-18,1.3881947484067906e-18,4918.339710522395,1.112138349282253,0.8029858952994133,1.2478451383237443e-19,58.35709640378055,8.829699608018035e-19,1.437848356749392e-18,0.6849843337616073,0.5539861071407118,2.246063399305983e-25
479,12592.0,0.2734578596782311,0.033,0.94,0.94,0.4549714104193138,0.04502858958068615,0.20076238881829733,0.29923761118170267,363.0,8370.0,11652.0,0.9253494282083863,1.5821513705889294,765.0,0.06075285895806862,0.2614275768931346,3.867607083810731e-18,1.369762179200974e-18,4810.609755277888,1.0925780550207553,0.7823906084634292,1.4215939350174299e-19,65.90151181799258,8.853363351264855e-19,1.4703491759815285e-18,0.6900888980563713,0.6265511538066496,2.265870989025677e-25
480,12592.0,0.2734578596782311,0.025,1.0,1.0,0.528351334180432,0.0,0.1844027954256671,0.28724587039390087,0.0,9056.0,11440.0,0.9085133418043202,1.5222023849825368,708.0,0.05622617534942821,0.2476466741481325,3.857706972115897e-18,1.600397898176129e-18,4268.960232818482,1.091277132735377,0.7744288982399611,0.0,0.0,8.373797769885928e-19,1.4199292969511745e-18,0.6859320742552116,0.5954004741976949,2.983293618554553e-25
481,12592.0,0.2734578596782311,0.025,1.0,0.98,0.5062738246505718,0.0,0.19480622617534943,0.29891994917407877,140.0,9096.0,11532.0,0.9158195679796697,1.5596769626897855,756.0,0.06003811944091487,0.260222832625316,3.836896345707755e-18,1.5152426036419408e-18,4063.735928977376,1.1049559750656985,0.7999261979617415,0.0,0.0,8.642022453990711e-19,1.4574514966667433e-18,0.6896615595066595,0.5642120873390253,2.967200066242186e-25
482,12592.0,0.2734578596782311,0.025,1.0,0.96,0.49618805590851334,0.0,0.20338310038119442,0.30042884371029227,279.0,9180.0,11592.0,0.920584498094028,1.5443200799766064,795.0,0.06313532401524778,0.26628627524421683,3.843843768493476e-18,1.4779823270744115e-18,3956.643179316535,1.1185505005566179,0.8282736015064055,0.0,0.0,8.976240067825444e-19,1.46823743463652e-18,0.6855665282229514,0.5504587979357605,2.972572740271565e-25
483,12592.0,0.2734578596782311,0.025,1.0,0.94,0.4880082592121982,0.0,0.20378017789072428,0.3082115628970775,387.0,9329.0,12077.0,0.9591010165184244,1.6225991415713796,869.0,0.06901207115628971,0.2774202542562841,3.8623219391863275e-18,1.4659043832786796e-18,3905.5350993528828,1.1071666378388023,0.8165969013267288,0.0,0.0,9.023842667765792e-19,1.4940332891310693e-18,0.6920853575576674,0.5658750963774879,2.9868625266936556e-25
484,12592.0,0.2734578596782311,0.025,0.98,1.0,0.4983322744599746,0.015247776365946633,0.19202668360864042,0.2943932655654384,0.0,8638.0,11773.0,0.9349587039390089,1.5897608194289812,796.0,0.06321473951715374,0.2588564791164884,3.883537753641868e-18,1.487155999540403e-18,3940.5094086542,1.108436044845348,0.8143551970809765,4.6757619735636773e-20,16.353589597322337,8.909967219194759e-19,1.4586274124463528e-18,0.6829989322757748,0.5849374812109934,3.0032694244531643e-25
485,12592.0,0.2734578596782311,0.025,0.98,0.98,0.49737928843710294,0.015247776365946633,0.18908831003811943,0.29828462515883103,124.0,8731.0,11652.0,0.9253494282083863,1.570462110327485,774.0,0.06146759847522237,0.2611083940096524,3.823445665135813e-18,1.4808524942082618e-18,3985.4764856824245,1.1043107834653547,0.786410772762782,4.473021952103791e-20,15.890382021699597,8.406916849800151e-19,1.4571712664264988e-18,0.6795534076445198,0.5421159221599572,2.9567982058091523e-25
486,12592.0,0.2734578596782311,0.025,0.98,0.96,0.48681702668360866,0.016359593392630243,0.19504447268106734,0.3017789072426938,255.0,8989.0,11623.0,0.9230463786531131,1.6065258847054056,782.0,0.06210292249047014,0.26065347925762034,3.846512613074539e-18,1.458016186139132e-18,3900.484507469446,1.1068245092351505,0.8016063591761347,4.918126481936754e-20,17.36683843997822,8.651319972037025e-19,1.4741831649123368e-18,0.6843481392191312,0.5701653267926782,2.974636646904482e-25
487,12592.0,0.2734578596782311,0.025,0.98,0.94,0.48078144853875476,0.015088945362134688,0.1986181702668361,0.30551143583227447,358.0,9088.0,11621.0,0.9228875476493011,1.565251993835744,812.0,0.0644853875476493,0.2740515829881263,3.843643205261949e-18,1.4365951670655981e-18,3846.048064298124,1.1102635557401939,0.8302049990433986,4.367816482438826e-20,15.435103565022002,8.894421372231454e-19,1.4739277361488174e-18,0.705096693936228,0.6003994518925561,2.9724176380273934e-25
