,zeniths,M_PARABOLA,RHO_PARABOLA,ALPHA_TUBE,arr_N_ABS_TUBE,arr_N_ABS_TROUGH,arr_N_ABS_GROUND,arr_N_ABS_SKY,arr_N_REF_TUBE,arr_N_REF_TROUGH,arr_N_SCATTERS,arr_mean_SCATTERS,arr_std_SCATTERS,arr_N_ABSORPTIONS,arr_mean_ABSORPTIONS,arr_std_ABSORPTIONS,arr_E_TOTAL,arr_E_TUBE,arr_flux_TUBE,arr_mean_lambda_TUBE,arr_std_lambda_TUBE,arr_E_TROUGH,arr_flux_TROUGH,arr_E_GROUND,arr_E_SKY,arr_mean_lambda_SKY,arr_std_lambda_SKY,arr_TIME
3653,1.0444730250979433,0.06,0.98,0.98,0.489,0.0164,0.2617,0.2329,102.0,7408.0,4817.0,0.4817,0.6927576064614023,346.0,0.0346,0.186027687804969,3.0753450691191244e-18,1.396263266599677e-18,68806.84207273589,0.9946290739029243,0.7805196098842229,4.7698762352050616e-20,310.2674974065349,8.502218837491211e-19,7.811611564182755e-19,0.8029344988733728,0.6554676391635197,1.61482633153011e-26
3654,1.0444730250979433,0.06,0.98,0.96,0.49,0.0144,0.2586,0.237,194.0,7772.0,4953.0,0.4953,0.7295417281508381,339.0,0.0339,0.18372306718684414,3.0549989308098266e-18,1.3774764300537282e-18,68333.12467477143,1.0232220509437975,0.8591432414763762,4.4974416139695074e-20,294.4947090292335,8.30234715202982e-19,8.023133694134213e-19,0.8087512169263341,0.7034539643378211,1.604142821501683e-26
3655,1.0444730250979433,0.06,0.98,0.94,0.4774,0.0154,0.256,0.2512,302.0,7807.0,4897.0,0.4897,0.7157828892300035,355.0,0.0355,0.1893233591859001,3.0680070603393896e-18,1.3752377625653442e-18,67932.8133621353,0.9686170503966464,0.7411311460038137,4.6647680670783446e-20,304.15623653739556,8.112003030574542e-19,8.349213140458082e-19,0.7922114893493001,0.5566798651256282,1.6109732322738665e-26
3656,1.0444730250979433,0.06,0.96,1.0,0.4886,0.0295,0.2493,0.2326,0.0,7262.0,4887.0,0.4887,0.7228586047466307,309.0,0.0309,0.17761853741792674,3.052586743196503e-18,1.3827688022045725e-18,68649.87093234016,0.9954964688629321,0.7773412440042295,8.589779543928734e-20,562.907492240417,7.882940178521408e-19,7.956261277005023e-19,0.7949463493785696,0.6283576881268317,1.6028762110930822e-26
3657,1.0444730250979433,0.06,0.96,0.98,0.4891,0.0307,0.2422,0.238,107.0,7440.0,4812.0,0.4812,0.7203460625595064,339.0,0.0339,0.1848085642510705,3.057305691007724e-18,1.4008585849337103e-18,69440.6212558489,0.984777220356983,0.7887631633313748,8.767937631751744e-20,573.6957231934622,7.653336237497859e-19,8.034341060067106e-19,0.7972590757183573,0.652886719878949,1.6053540732553465e-26
3658,1.0444730250979433,0.06,0.96,0.96,0.4829,0.0274,0.2486,0.2411,182.0,7543.0,4797.0,0.4797,0.7021660869917973,294.0,0.0294,0.1718679547192726,3.049282023056998e-18,1.3692886107114603e-18,68054.29962549638,0.9935676818571684,0.7834350474799681,8.169755127975257e-20,535.962582813858,7.872829318921079e-19,8.110129291736772e-19,0.8079772321727936,0.6427832333692075,1.6011409426989115e-26
3659,1.0444730250979433,0.06,0.96,0.94,0.4618,0.0304,0.2607,0.2471,273.0,7362.0,4988.0,0.4988,0.7179485392495071,317.0,0.0317,0.18137916043466515,3.056880051375613e-18,1.3037989545625531e-18,64638.37012432816,1.0101843531044874,0.8078809501221813,8.448623320897999e-20,552.8796117074784,8.426966579784448e-19,8.258982056256351e-19,0.8179454965463926,0.6989415277461029,1.6051305750558832e-26
3660,1.0444730250979433,0.06,0.94,1.0,0.4796,0.0467,0.2505,0.2232,0.0,7168.0,4907.0,0.4907,0.7372705519595087,337.0,0.0337,0.18484514268077823,3.0503947571110312e-18,1.3650382578410802e-18,67818.3070171071,0.9821280169186161,0.7549481510884944,1.2940350126417475e-19,848.6194989916564,8.054260586591978e-19,7.505269393465787e-19,0.8045692210893751,0.6048217544402736,1.601725225831392e-26
3661,1.0444730250979433,0.06,0.94,0.98,0.4667,0.0443,0.2598,0.2292,94.0,7056.0,4891.0,0.4891,0.7218956318820146,324.0,0.0324,0.18208117792769124,3.0584007148950417e-18,1.318768884242116e-18,65348.02574521225,0.9836037229242557,0.7341426312172691,1.2337819845639692e-19,806.9879745251942,8.425580062757137e-19,7.736956259208152e-19,0.8070487254479131,0.6577525693187797,1.605929056994456e-26
3662,1.0444730250979433,0.06,0.94,0.96,0.4596,0.0485,0.2507,0.2412,198.0,7270.0,4870.0,0.487,0.720057531232629,318.0,0.0318,0.17774115784454422,3.037445451635226e-18,1.3079764428218241e-18,65260.380452265315,0.9894330155710006,0.7768511810967433,1.382068282823634e-19,910.2151047089477,7.93683251169393e-19,7.975789293616452e-19,0.8269927392409978,0.6783036624690273,1.594925702855147e-26
